Categories,Sub_categories,Value
Total arrivals,Permanent arrivals,30590
Total arrivals,Australian resident returns,2877560
Total arrivals,Overseas visitor arrivals,2000480
Total departures,Australian resident departures,2730570
Total departures,Overseas visitor departures,1576910
